,Model,MAE,MSE,RMSE,R2 Square
0,polynomial,81174.5184314088,10081984053.435167,100409.08352054194,0.9145669319465434
1,linear,81135.56609336878,10068422551.40088,100341.52954485436,0.9146818498754016
